BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Negatoscopio mural 3 pantallas,"Negatoscopio mural, acero pintado, 3 pantallas",INMOCLINC,16106,2 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Estantería de 4 niveles acero inox.,"Estantería, 4 baldas fijas, acero inox., patas con niveladores. Medidas: 100x40x180 cm.",INMOCLINC,26000,2 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,"Mesa de trabajo central, acero inox., plano superior e inferior liso","Mesa de trabajo central, acero inox., plano superior e inferior lisos. Medidas: 150x80x85 cm",INMOCLINC,14786,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,"Bandeja para instrumental, acero inox.","Bandeja para instrumental, acero inox. Medidas: 31x19x3,5 cm.",INMOCLINC,20215,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,"Carro de curas acero inox., 3 bandejas, cubo de residuos, espacio 2 bombonas","Carro de curas e intervenciones quirúrgicas, acero inox., mod. INS, 3 bandejas, cubo de residuos, soporte para bombonas",INMOCLINC,10146,2 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Bombonas para carro curas acero inox.,"Bombona para carro de curas, acero inox. Medidas: 20x14 cm.",INMOCLINC,20183,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Armario archivador fichas BLANCO grande,K2 armario 198x120 BLANCO,OFIPRIX,2100220,2 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Estanterías armario archivador fichas BLANCO,K2 estante 120 BLANCO,OFIPRIX,209920,8
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Armario medicación mural,"Armario mural para medicación de enfermos, acero inox., con 40 cajas basculantes transparentes (2 filas de 4 cajas, 4 de 5 y 2 de 6)",INMOCLINC,3031,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Lavavajillas suelo 12 servicios,Lavavajillas suelo 12 servicios. Medidas: 845X600X600 MM. (ALTOXANCHOXFONDO),5º envío SUMALSA,3VS570BP,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Mesa auxiliar,"Mesa para especialidades médicas y pequeñas intervenciones, acero cromado, entrepaño superior e inferior lisos en melamina de PVC",INMOCLINC,14121,2 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Mesa auxiliar ECG con cajón,"Mesa para especialidades médicas y pequeñas intervenciones, acero pintado, entrepaño superior de melamina con barandilla en 3 lados,entrepaño inferior liso, cajón de PVC con frontal en color azul",INMOCLINC,14150,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Electrocardiógrafo,Electrocardiógrafo 3 canales Schiller AT1,IBOR MÉDICA,01010067,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Tabla de masaje cardíaco,Tabla de masaje cardíaco,INMOCLINC,10182/11,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Portasueros regulable,"Portasueros regulable en altura, acero inox., 2 ganchos",INMOCLINC,10182/6,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Soporte botella de oxígeno,Soporte botella de oxígeno,INMOCLINC,10182/10,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Carro paradas SAFRAN,"Carro de curas, urgencias y parada cardíaca, acero inox. SAFRAN, 3 cajones inferiores, entrepaño, 62x48x96 cm.",INMOCLINC,10540,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Escalera 2 peldaños acero inox.,"Banquillo acceso pacientes, 2 tramos, acero inox., superficie de apoyo antideslizante",INMOCLINC,5013,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Termómetro digital,Termómetro digital c/alarma,IBOR MÉDICA,02280003,40 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Esfigmomanómetro,"Tensiómetro Welch Allyn Durashock DS54, 1 tubo",IBOR MÉDICA,02030068,8 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Fonendoscopio pediátrico,Fonendoscopio Littmann pediátrico frambuesa,IBOR MÉDICA,02020043,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Fonendoscopio,Fonendoscopio Littmann Classic II granate,IBOR MÉDICA,02020037,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Linterna de exploración,Linterna de bolsillo Kawe,IBOR MÉDICA,02160010,4 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Resucitador Infantil,Revivator plus niños con 2 mascarillas,HERSILL,5200610,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Pulsioxímetro,Pulsioxímetro Nonin 9500 ONYX de dedo,IBOR MÉDICA,01070047,1 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Tabla de transferencias,Tabla de transferencias Transglide 170x65,IBOR MÉDICA,16000011,5 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Botellas de oxígeno 240 litros,"Botellas de oxígenos 240 litros, 1,2 litros agua, válvula NF",HERSILL,510015,3 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Botellas de oxígeno 1.000 litros,"Botellas de oxígeno 1.000 litros, 5 litros agua, válvula NF",HERSILL,510003,3 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Botellas de oxígeno 2.000 litros,"Equipo de oxígeno H-700, con regulador P300F15",HERSILL,5520701,3 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Regulador de presión con caudalímetro,"P300F15NFS, caudalímetro de 0-15 L/mn, para botellas anteriores",HERSILL,5503211,6 
G,INTERNAMIENTO,SALA DE ENFERMERÍA,Aspirador de secreciones portátil,Aspirador de secreciones Supertobi,IBOR MÉDICA,02040007,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA DO PESSOAL"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,"Sillón convertible en cama, polipiel APFEL","Sillón para pacientes con enfermedad, lesión o discapacidad, convertible en cama, 3 secciones, acero pintado, somier extesible y escamoteable, polipiel APFEL",INMOCLINC,21157,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Bancada 3 plazas tapizadas,Bancada Spirit 3 AS BLC/rena NEGRO,OFIPRIX,2903040,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Mesa de juntas,Mesa de juntas 0/100 c/base 590 MARFIL,OFIPRIX,21458280,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Silla pintada apilable polipiel SAFRAN,"Silla de despacho, altura fija, SIN brazos, polipiel SAFRAN, apilable",INMOCLINC,21125,6 
G,INTERNAMIENTO,SALA DE MÉDICOS,Frigobar,Frigobar de 40  litros de capacidad con parrilla intermedia. Dimensiones 680*480*580 mm.,TELLSA,LACOR MINIBAR,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,2 
G,INTERNAMIENTO,SALA DE MÉDICOS,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Cafetera,Cafetera con producción 18 litros/hora. Dimensiones 195*406*446 mm.,TELLSA,SAMMIC MONDO,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,Mesa de apoyo cuadrada (de rincón),"Mesa auxiliar, LACK, 55*55*45, blanco",IKEA,200.114.13,2 
G,INTERNAMIENTO,SALA DE MÉDICOS,"Soporte de pared TV hasta 26""","Vogel's Superflat S EFW 8105-Kit de montaje (soporte para montaje en pared) para LCD/panel de plasma-negro, dolphin gray-tamaño de pantalla: 19""-26""",INYCOM,I 8381050,1 
G,INTERNAMIENTO,SALA DE MÉDICOS,"TV 26""","26"" TV con pantalla de cristal líquido-pantalla ancha-720p-HD ready",INYCOM,I 26LK336C,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,SALA DE ESPERA Y CONTROL,Soporte DVD,Soporte pared DVD,6º envío INYCOM,I OV04,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,SALA DE ESPERA Y CONTROL,DVD,Reproductor DVD DVX640,INYCOM,I DVX640,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,SALA DE ESPERA Y CONTROL,Euroconector,Cable euroconector SCART 5m (M/M),INYCOM,I VC43,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,SALA DE ESPERA Y CONTROL,"TV 37""","37"" TV con pantalla de cristal líquido-pantalla ancha-1080p (FullHD)",INYCOM,I 37LK455C,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,SALA DE ESPERA Y CONTROL,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,INYCOM,I 8383050,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Plafón exterior,"Plafón exterior, ""CONSULTAS EXTERNAS PEDIÁTRICAS"", armado de tubo rectangular, para fijar a pared, rotulados con textos recortados en vinilo blanco para exterior, 2900x400x70 mm., color azul sanitario RAL 5024 con letras blancas",5º envío RÓTULOS ARCEGA,,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""CONSULTÓRIOS PEDIATRÍA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SALA POLIVALENTE"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Silla rodable, giratoria, polipiel APFEL, elevación a gas, respaldo bajo, con brazos","Silla de despacho, elevación a gas, CON brazos de poliuretano integral, polipiel APFEL",INMOCLINC,21120,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Silla pintada apilable polipiel APFEL,"Silla de despacho, altura fija, SIN brazos, polipiel APFEL, apilable",INMOCLINC,21125,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Mesa mural clínica 175*75*90, 1 módulo de fregadero clínico 1 puerta dcha. y 2 módulos clínicos, 4 cajones y 1 puerta izda.","Mesa mural clínica 175*75*90, encimera ESTRATIFICADO POSTFORMADO GRIS, 1 módulo de fregadero clínico 1 puerta dcha. 61*50*87, 1 grifo monoblock y 1 fregadero 1 poza redonda 45 diam. y 2 módulos clínicos, 1 puerta izda. 61*50*87 y 4 cajones 51*50*87",FORMIMETAL,tipo 2 POS 16.01,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Bastidor para Pharmalow L,Bastidor para Pharmalow L con cajones metálicos,GRUPO SELECTA,1001307,1
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Cajón para Pharmalow L,Cajón para Pharmalow L con 3 compartimentos y 12 separadores,GRUPO SELECTA,1001308,1
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Frigorífico clínico,"Armario refrigerado ""Pharmalow L""",GRUPO SELECTA,-2101275,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Mesa desnudabebés y exploración R.N., APFEL","Mesa desnudabebés y exploración para recién nacidos, acero pintado APFEL, 2 cajones de PVC, entrepaño inferior",INMOCLINC,12215,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Báscula pesabebés electrónica,"Báscula pesabebés electrónica, estructura ABS, bandeja extraíble, capacidad 20 Kg.",INMOCLINC,6018,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Mesa para báscula pesabebés, acero pintado","Mesa para báscula pesabebés, acero pintado, tablero superior PVC",INMOCLINC,12210,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Tallímetro para bebés aluminio,"Tallímetro para bebés, aluminio, metro con graduación de 20 a 100 cm.",INMOCLINC,6009,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Balanza adultos con tallímetro,"Báscula medical doble romana CON tallímetro, capacidad 150 Kg.",INMOCLINC,6003,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Bandeja para instrumental, acero inox.","Bandeja para instrumental, acero inox. Medidas: 31x19x3,5 cm.",INMOCLINC,20215,4 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Fungibles para vacunas (desechables pediatría),,pte. PEDIR Y PAGAR 5º envío B.BRAUN,,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,"Bancada metálica, 3 plazas","Banco estructura de acero con acabado de aluminio, 3 plazas",OFIPRIX,2942003,4 
G,CONSULTAS EXTERNAS PEDIATRÍA,VACUNAS Y NUTRICIÓN,Báscula romana adultos,"Báscula romana con tallímetro adultos, 200 Kg, mod. M318800",6º envío IBOR MÉDICA,05040095,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""LABORATÓRIO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Microscopio binocular con objetivo de inmersión,Microscopio CC DM750,SUMALSA,DM750,3 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Resistencia,Resistencia 2000911,repuestos GRUPO SELECTA,39231,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Termostato estufa desecación 1,"Termostato estufa desecación 1 2000381, 2000911",repuestos GRUPO SELECTA,9243019,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Termómetro analog.Drytime.Term,Termómetro analog.Drytime.Term estufa 2000911,repuestos GRUPO SELECTA,9242038,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Reloj temporizador 0-120',Reloj temporizador 0-1200 estufa 2000911,repuestos GRUPO SELECTA,9237005,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Esterilizador Poupinel,"Esterilizador Poupinel calor seco ""Drytime""",GRUPO SELECTA,2000911,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Cierre Electromagn.Centrífuga,"Cierre Electromagn.Centrífuga 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710040,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Enganche cierre Elect.Centr.BL,"Enganche cierre Elect.Centr.BL 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710041,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Circuit Senso Tecom.Centri.BL,"Circuit Senso Tecom.Centri.BL 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9729230,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Filtro de red,"Filtro de red 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9745011,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Centrífuga de mesa con cabezales y adaptadores intercambiables,Centrífuga Centromix II-BL,GRUPO SELECTA,7002555,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Cabezal angular,Cabezal angular 8 tub. 15 ml.,GRUPO SELECTA,7000550,2
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Cabezal oscilante,Cabezal oscilante forma cruz,GRUPO SELECTA,7001065,2
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Adaptador 40 ml,Adaptador C.2 tub. 5ml. 13x75VAC,GRUPO SELECTA,7001573,8
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Circuit Senso Tecom.Centri.BL,"Circuit Senso Tecom.Centri.BL 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9729230,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Cierre Electromagn.Centrífuga,"Cierre Electromagn.Centrífuga 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710040,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Enganche cierre Elect.Centr.BL,"Enganche cierre Elect.Centr.BL 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710041,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Goma Vaina de 15 ml O 16 mm.,Goma Vaina de 15 ml O 16 mm.7002356,repuestos GRUPO SELECTA,9721005,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Filtro de red,"Filtro de red 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9745011,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Centrífuga de tubos,Centrífuga Centro-8-BL,GRUPO SELECTA,7002356,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Estufa de secado y esterilización 36L,"Estufa de secado y esterilización ""Conterm"", termostato regulador y termómetro analógicos, 36L, 60x65x49",GRUPO SELECTA,2000209,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Resistencia estufa 115V.250W.,Resistencia estufa 115V.250W. 2000200,repuestos GRUPO SELECTA,9239120,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Termómetro analógico de 250ºC,"Termómetro analógico de 250ºC estufa 2000200, 2000381",repuestos GRUPO SELECTA,9242053,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Termostato estufa desecación,Termostato estufa desecación 2000200,repuestos GRUPO SELECTA,9243103,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Estufa de secado y esterilización 52L,"Estufa de secado y esterilización ""Conterm"", termostato regulador y termómetro analógicos, 52L, 33x47x33",GRUPO SELECTA,2000200,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Reloj desconectador,Reloj desconectador 0-120 min.,GRUPO SELECTA,2000002,2
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Motor bomba ttos. inmersión,"Motor bomba ttos. Inmersión 3473100, 4002628",repuestos GRUPO SELECTA,9324017,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Resis.tto.inmers. 100ºC 1000W,Resis.tto.inmers. 100ºC 1000W 3473100,repuestos GRUPO SELECTA,9339190,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Tto.segur.autoclave-baño 100ºC,"Tto.segur.autoclave-baño 100ºC 3473100, 4001725, 4002136, 4903004",repuestos GRUPO SELECTA,9343031,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Sonda PT-100 tectrones,Sonda PT-100 tectrones 3473100,repuestos GRUPO SELECTA,43134,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Baño María,"Termostato de inmersión de control analógico ""Tectron Bio""",GRUPO SELECTA,3473100,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Cubeta en metacrilato ""Clinic-Term""",Cubeta metacrilato 14x16x39 cm.,GRUPO SELECTA,1000544,1
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Gradilla para 50 microtubos,Gradilla inox. 50 tubos 10 mm.,GRUPO SELECTA,1000546,1
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Gradilla para 50 tubos hemólisis,Gradilla inox. 50 tubos 12 mm.,GRUPO SELECTA,1000545,1
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Gradilla para 8 cubetas espectrofotometría,Gradilla inox. 8 cubetas,GRUPO SELECTA,1000548,1
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Resistencia Aquasel 3 L.,Resistencia Aquasel 3 L. 4903004,repuestos GRUPO SELECTA,9439232,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Tto.segur.autoclave-baño 100ºC,"Tto.segur.autoclave-baño 100ºC 3473100, 4001725, 4002136, 4903004",repuestos GRUPO SELECTA,9343031,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Junta silicona Aquasel 4 L.,Junta silicona Aquasel 4 L. 4903004,repuestos GRUPO SELECTA,21155,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Campana vidrio Aquasel-3,Campana vidrio Aquasel-3 4903004,repuestos GRUPO SELECTA,9447025,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Refrigerante Aquasel-3,Refrigerante Aquasel-3 4903004,repuestos GRUPO SELECTA,9447026,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Destilador de agua,"Destilador de agua, inox-vidrio. Aquasel 4",GRUPO SELECTA,4903004,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Teclado contador células,Teclado contador células 7121431,repuestos GRUPO SELECTA,29501,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Placa CPU contador,Placa CPU contador 7121431,repuestos GRUPO SELECTA,29502,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Display LCD,Display LCD 7121431,repuestos GRUPO SELECTA,45044,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Contador de fórmulas sanguíneas,"Contador digital de fórmulas sanguíneas ""CC-1431"". Incluye software de informes y 4 programas",GRUPO SELECTA,7121431,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Agitador monotubo,"Agitador ""Móvil-Vib"" con selector de agitación por presión o fija en continuo",GRUPO SELECTA,7001721,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Motor agitador Movil-Tub,Motor agitador Movil-Tub 7000913,repuestos GRUPO SELECTA,9724000,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Almohadilla Movil-Tub,Almohadilla Movil-Tub 7000913,repuestos GRUPO SELECTA,28125,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Agitador basculante de tubos,"Agitador ""Movil-Tub"" con plato basculante y bandeja de silicona",GRUPO SELECTA,7000913,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Cronómetro,"Cronómetro digital ""Diamond""",GRUPO SELECTA,5900501,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Reloj avisador,"Reloj avisador ""Relavis""",GRUPO SELECTA,5900499,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Mesa mural 165*75*90, 1 módulo fregadero 1 puerta dcha. y 1 módulo suspendido cajón - 1 puerta dcha.","Mesa mural 165*75*90, encimera COMPACTO HLP BLANCA, 1 módulo fregadero 1 puerta dcha. 61*63*70, 1 grifo monoblock y 1 fregadero 1 poza redonda 45 diam. y 1 módulo suspendido cajón - 1 puerta dcha. 51*43*62",FORMIMETAL,POS 14.01,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Soporte de WESTERGREEN, 3 plazas","Soporte de WESTERGREEN, acero inox., 3 plazas",GRUPO SELECTA,1000093,6 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Soporte de WESTERGREEN, 6 plazas","Soporte de WESTERGREEN, acero inox., 6 plazas",GRUPO SELECTA,1000096,6 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Soporte de WESTERGREEN, 12 plazas","Soporte de WESTERGREEN, acero inox., 12 plazas",GRUPO SELECTA,1000912,6 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Pipetas automáticas 10-100 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 10-100 microlitros",GRUPO SELECTA,5900100,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Puntas transparentes 5-200uL,1000 puntas transparentes 5-200uL para pipetas,GRUPO SELECTA,5490042,2
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Contenedor para pipetas,"Contenedor esterilizador para pipetas, 72x400 mm",GRUPO SELECTA,1000829,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Transductor sandwich completo,"Transductor sandwich completo 3000840, 3000910",repuestos GRUPO SELECTA,9345004,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Base+Filtro baño Ultrasons,"Base+Filtro baño Ultrasons 3000840, 3000910",repuestos GRUPO SELECTA,9345013,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Reloj temporizador de 15',"Reloj temporizador de 15' 3000840, 3000910",repuestos GRUPO SELECTA,9337010,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Baño por ultrasonidos-P 10L,"Baño limpiador de pipetas ""Ultrasons-P"", reloj desconectador con posibilidad de temporizador",GRUPO SELECTA,3000910,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Dispensador de pared,"Dispensador de pared ""TOUCHLAND""",SUMALSA,TOUCHLAND,4 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Repuestos para dispensador de pared,"Repuestos para dispensador ""TOUCHLAND""",SUMALSA,,8 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,KIT MATERIAL LABORATORIO,Kit de material laboratorio: vidrio y plástico,SUMALSA,,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Lavavajillas sobremesa 6 servicios,Lavavajillas sobremesa 6 servicios.Medidas: 450X551X500 MM. (ALTOXANCHOXFONDO),5º envío SUMALSA,3VK300BC,1 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Tijera laboratorio,Tijera de laboratorio larga,GRUPO SELECTA,1001469,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,Tijera Universal,"Tijera Universal ""Multiuso""",GRUPO SELECTA,1001468,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Navecilla con mango, 120 ml.","Navecilla con mango, acero inox., 120 ml., 180 mm.",GRUPO SELECTA,1000859,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Navecilla con mango, 450 ml.","Navecilla con mango, acero inox., 450 ml., 260 mm.",GRUPO SELECTA,1000860,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Navecilla con mango, 1500 ml.","Navecilla con mango, acero inox., 1500 ml., 310 mm.",GRUPO SELECTA,1000861,2 
G,CONSULTAS EXTERNAS PEDIATRÍA,LABORATORIO,"Navecilla con mango, 2000 ml.","Navecilla con mango, acero inox., 2000 ml., 330 mm.",GRUPO SELECTA,1001354,2 
